ID,term,category,appliesTo,definition,category2,dataSource
2215,sarcocaulous,texture,plant,"Having main stems that are sarcous (carnose, fleshy).",texture,
2216,sarcous,texture,,"Fairly firm and dense, juicy or at least moist, and easily cut.",texture,
2217,sarmentose,architecture,plant,"Producing stolons (runners), by means of which it propagates vegetatively.",architecture,
2218,sausage-shaped,shape,,Arcuately cylindric with rounded ends.,shape,
2219,sawtooth,structure,,"One of a series of regularly spaced, angular, marginal convexities oriented at an acute angle to the generalized perimeter of a laminar structure.  See also sawtoothlet, scallop (crena), scalloplet (crenule), tooth, toothlet.",STRUCTURE,
2220,sawtoothed,shape,,"Having regularly spaced, angular convexities oriented at an acute angle to the generalized perimeter.  See also  scalloped (crenate), small-scalloped (crenulate), small-sawtoothed (serrulate), small-toothed (denticulate), toothed (dentate).",shape,
2221,_sawtoothed,shape,,"Having the number of orders of sawteeth indicated by the prefix, one upon another; as in twice-sawtoothed.  See also ...-scalloped (...crenate), ...-toothed (...dentate).",shape,
2222,sawtoothlet,structure,,"A diminutive sawtooth.  See also scallop (crena), scalloplet (crenule), tooth (dens), toothlet.",STRUCTURE,
2223,scabrate,relief,,"Having small, stout, stiff, more or less acute protrusions.",relief,
2224,scabrellate,relief,,"Minutely scabrous (rough, scabrate, scabrid, scabridous).  See also spiculate, which is not clearly distinct in its application.",relief,
2225,scabrellous,relief,,"Minutely scabrous (rough, scabrate, scabrid, scabridous).  See also spiculate, which is not clearly distinct in its application.",relief,
2226,scabrid,relief,,"Having small, stout, stiff, more or less acute protrusions.",relief,
2227,scabridous,relief,,"Having small, stout, stiff, more or less acute protrusions.",relief,
2228,scabridulous,relief,,"Minutely scabrous (rough, scabrate, scabrid, scabridous).  See also spiculate, which is not clearly distinct in its application.",relief,
2229,scabrous,pubescence,,"Of or bearing coarse, stiff, ascending trichomes and markedly rough to the touch.",pubescence,q
2230,scabrous,relief,,"Having small, stout, stiff, more or less acute protrusions.",pubescence,q
2231,scalariform,arrangement,,Disposed in vertical sequence with long axes horizontal and parallel.,arrangement,
2232,scale,structure,,"A basically dry, more or less appressed, diminutive bract.  The choice of term as between the more general bract and the more restricted scale is sometimes problematic and, when so, often is dictated by custom according to the structure and taxon involved",STRUCTURE,
2233,scale,structure,,A planate trichome.,STRUCTURE,
2234,scale-like,shape,,"Isodiametric to elongate in broad outline, relatively very thin, and planate to moderately concave-convex.",shape,
2235,scallop,FEATURE,,"A rounded, marginal convexity or concavity in a series of such that alternate regularly and are oriented more or less perpendicular to the generalized perimeter of a laminar structure.  See also  sawtooth, sawtoothlet, scalloplet (crenule), tooth (dens),",FEATURE,
2236,scalloped,shape,,"Having regularly alternating, rounded convexities and concavities oriented more or less perpendicular to the generalized perimeter.  See also  sawtoothed (serrate), small-sawtoothed (serrulate), small-scalloped (crenulate), small-toothed (denticulate), to",shape,
2237,_scalloped,shape,,"Having the number of orders of scallops (crenae) indicated by the prefix, one upon another; as in twice-scalloped.  See also ...-sawtoothed (...serrate), ...-toothed (...dentate).",shape,
2238,scalloplet,FEATURE,,"A diminutive scallop (crena).  See also sawtooth, sawtoothlet, tooth (dens), toothlet.",FEATURE,
2239,scaly,pubescence,,Bearing scales [squamae (lepides) or squamellae].,texture,
2240,scaly,architecture,"bud, bulb",Invested by scale-like (squamiform) structures.,texture,
2241,scandent,habit,"plant, axis","Ascending by means of special structures (e.g., tendrils) or growth patterns (e.g., twining) that enable purchase on and support by other plants or objects.",habit,
2242,scape,structure,,"A leafless, essentially naked, inflorescence-bearing stem (or peduncle) arising directly from a caudex or rhizome, its point of insertion slightly beneath, at, or slightly above the substrate surface.",STRUCTURE,
2243,scapigerous,architecture,plant,"Having the inflorescence borne upon a leafless, essentially naked axis (scape) that arises directly from a caudex or rhizome beneath, at, or slightly above the substrate surface.",architecture,
2244,scapose,architecture,plant,"Having the inflorescence borne upon a leafless, essentially naked axis (scape) that arises directly from a caudex or rhizome beneath, at, or slightly above the substrate surface.",architecture,
2245,scar,FEATURE,,A discontinuity in surface color and/or relief due to abscission of a structure formerly borne there.,FEATURE,
2246,scarious,texture,,"Very thin, dry, and not green.",texture,
2247,schizocarp,structure,fruit,"Dry, dehiscent and with two or more locules; derived from a single, superior or inferior, compound ovary; with or without accessory tissue; splitting between locules to yield separate, individually indehiscent, usually one-seeded segments (cocci or merica",nominative,
2248,scimitar-shaped,shape,,"Thin and moderately arcuate with two opposite, plane, broad faces, the degree of curvature increasing distally, thinnest at the convex edge, thicker toward the concave; like a scimitar blade.",shape,
2249,sclerocaulous,texture,plant,"Having hard, relatively dry, but essentially herbaceous main stems that contain a significant proportion of sclerotic tissue or fibers.",texture,
2250,scorpioid_cyme,structure,inflorescence,"A cyme in which each axial segment branches to only one side, the successive segments branching alternately to either side, the whole appearing to have a continuous, elongate, straight to zig-zag main axis.  See also cincinnus, helicoid cyme (bostryx).",nominative,
2251,scorpioid-cymose,architecture,inflorescence,"Comprising one or more scorpioid cymes.  See also cincinnate, helicoid-cymose.",architecture,
2252,scrobiculate,relief,,Finely pitted (foveate).,relief,
2253,scrobis,FEATURE,,"A small, rounded depression.",FEATURE,
2254,scrobes,FEATURE,,"A small, rounded depression.",FEATURE,
2255,scrotiform,shape,,"Saccate (bag-, pouch- or sack-shaped) and somewhat swollen bilaterally in the distal portion; like a scrotum.",shape,
2256,scrotum-shaped,shape,,"Saccate (bag-, pouch- or sack-shaped) and somewhat swollen bilaterally in the distal portion; like a scrotum.",shape,
2257,sculpture,CHARACTER,,General topographic aspect of a surface.  Overlaps conceptually with solid shape.,CHARACTER,
2258,scutate,shape,,"Relatively thin with opposite broad oblong faces, planate to shallowly concave-convex, sometimes thickened about the periphery such that each face has a marginal rim; like an oblong shield.  See also scutellate (platter-shaped, scutelliform), which is not",shape,
2259,scutellate,shape,,"Relatively thin with opposite broad oval faces, shallowly concave-convex; like a serving platter.  See also scutate (buckler-shaped, scutiform), which is not clearly distinct in its application.",shape,
2260,scutelliform,shape,,"Relatively thin with opposite broad oval faces, shallowly concave-convex; like a serving platter.  See also scutate (buckler-shaped, scutiform), which is not clearly distinct in its application.",shape,
