ID,term,category,appliesTo,definition,category2,dataSource
1585,megastrobili,structure,,A strobilus (cone) whose fertile organs are all megasporophylls.,STRUCTURE,
1586,membranaceous,texture,,"Extremely thin, pliable, and fairly tough; like animal membrane.  See also chartaceous (papery, papyraceous), pergamentaceous (parchment-like).",texture,
1587,membrane,structure,,"A relatively thin layer of tissue that covers or separates other, different tissue(s) and/or empty space(s).",STRUCTURE,
1588,membranous,texture,,"Extremely thin, pliable, and fairly tough; like animal membrane.  See also chartaceous (papery, papyraceous), pergamentaceous (parchment-like).",shape,
1589,meniscoid,shape,,"Relatively thin with opposite, round, broad faces, one convex and one concave (as viewed externally), the circumferential edge angular or rounded; like a meniscus.  See also discoid (disciform), lenticular (biconvex, lens-shaped), patelliform (kneecap-sha",shape,
1590,mentum,structure,,"A lateral, often nectariferous protrusion from the proximal portion of a column, opposite the labellum, projecting in front of the rest of the flower; in Orchidaceae.",STRUCTURE,
1591,menta,structure,,"A lateral, often nectariferous protrusion from the proximal portion of a column, opposite the labellum, projecting in front of the rest of the flower; in Orchidaceae.",STRUCTURE,
1592,mericarp,structure,,One of the segments of a dehisced schizocarp; usually one-seeded and itself indehiscent.,STRUCTURE,
1593,_merous,architecture,compound or compound-complex structure,"Having the number of equivalent component parts indicated by the prefix (e.g., petals in a corolla), or having different component sets of equivalent parts of that number in each set (e.g., calyx and corolla in a perianth); as in monomerous, oligomerous,",architecture,
1594,mesocarp,structure,,The middle tissue layer of the pericarp of a fruit.,STRUCTURE,
1595,mesochilium,structure,,"The central portion of a labellum (lip) that has distinct proximal, distal, and central parts; in Orchidaceae.  See also epichilium, hypochilium.",STRUCTURE,
1596,microgametophyte,PLANT,,A gametophyte whose fertile organs (gametangia) are all antheridia.,PLANT,
1597,microphyll,structure,,"A small, lateral, leaf-like enation that, evolutionarily, is not a true leaf, i.e., whose vasculature, if any, consists of only a single median strand not ontogenetically integral with the vasculature of the bearing stem and not associated with leaf gaps",STRUCTURE,
1598,microphyllous,architecture,plant,Bearing microphylls.,architecture,
1599,micropyle,FEATURE,,"The small pore in the integuments of an ovule at its apex, through which the pollen tube grows; or the corresponding aperture or scar in the coat of the seed that develops subsequently.",FEATURE,
1600,microsporangium,structure,,A sporangium that produces microspores.,STRUCTURE,
1601,microsporangia,structure,,A sporangium that produces microspores.,STRUCTURE,
1602,microspore,structure,,A male spore; a spore of the smaller of the two types produced by the sporophytes of a heterosporous taxon; produced in a microsporangium; giving rise upon germination to a microgametophyte.,STRUCTURE,
1603,microsporocarp,structure,,A sporocarp that bears only microsporangia.,STRUCTURE,
1604,microsporophyll,structure,,A sporophyll that bears only microsporangia.,STRUCTURE,
1605,microstrobilus,structure,,A strobilus (cone) whose fertile organs are all microsporophylls.,STRUCTURE,
1606,midnerve,structure,,"A primary vein that runs longitudinally through the center of a leaf or other basically laminar structure.  See also lateral vein, secondary vein, tertiary vein, veinlet.",STRUCTURE,
1607,midrib,structure,,"A primary vein that runs longitudinally through the center of a leaf or other basically laminar structure.  See also lateral vein, secondary vein, tertiary vein, veinlet.",STRUCTURE,
1608,midvein,structure,,"A primary vein that runs longitudinally through the center of a leaf or other basically laminar structure.  See also lateral vein, secondary vein, tertiary vein, veinlet.",STRUCTURE,
1609,mitre-shaped,shape,,"Broadest and transversely round to oval proximally, tapering bilaterally above the middle to a central peak; like a peaked hat or cap.",shape,
1610,mitriform,shape,,"Broadest and transversely round to oval proximally, tapering bilaterally above the middle to a central peak; like a peaked hat or cap.",shape,
1611,mixed-craspedodromous,venation,,"Having a midvein that branches to either side along the length of the lamina, the secondary veins running thence toward the margin, some becoming indistinct before reaching it, others terminating there.",venation,
1612,monadal,arrangement,pollen,"Shed singly, or essentially so, only loosely and irregularly, if at all, coherent, each original tetrad having separated fully.",arrangement,
1613,moniliform,shape,,"Elongate, relatively slender, transversely round, and more or less regularly constricted over its length, the whole straight or variously curved; like a necklace of beads.",shape,
1614,mono_,prefix,,"Indicating presence of or constitution by one entity of the type denoted by the term's stem; as in  monandrous, monocolpate, monocyclic.  See also entries for particular terms with this prefix whose meanings, at least in some applications, are more specif",prefix,
1615,monocarpic,reproduction,plant,"Normally reproducing sexually only once, then promptly senescent.",reproduction,
1616,monochasiate,architecture,inflorescence,"Comprising one or more simple or compound monochasia.  See also cincinnate, cymose, cymulose, dichasiate, helicoid-cymose, scorpioid-cymose.",architecture,
1617,monochasiform,architecture,"capitulescence, inflorescence","Resembling a monochasium, but not strictly such.",architecture,
1618,monochasium,structure,inflorescence,"Determinate and falsely dichotomous with each axial segment bearing a single, sessile terminal flower; presumably derived from a dichasium by loss of the lateral flowers.  See also cincinnus, cyme, cymule, dichasium, helicoid cyme, scorpioid cyme.",nominative,
1619,monochasia,structure,inflorescence,"Determinate and falsely dichotomous with each axial segment bearing a single, sessile terminal flower; presumably derived from a dichasium by loss of the lateral flowers.  See also cincinnus, cyme, cymule, dichasium, helicoid cyme, scorpioid cyme.",nominative,
1620,monochasium-like,architecture,"capitulescence, inflorescence","Resembling a monochasium, but not strictly such.",architecture,
1621,monochlamydeous,architecture,flower,Having a monocyclic perianth.,architecture,
1622,monoclinous,reproduction,taxon,Having all flowers functionally bisexual; this condition is implied by default if no other is specified.  See also diclinous.,reproduction,
1623,monoecious,reproduction,taxon,"Having all flowers or spikelets functionally unisexual, and all plants having both staminate and pistillate types.  See also dioecious.",reproduction,
1624,monolete,architecture,spore,Having a single linear tetrad scar (surficial ridge or angle resulting from ontogenetic coherence with others produced from the same spore mother cell).,architecture,
1625,monopodial,architecture,axes,"Branching laterally, each axis of each order of branches produced by a single, persistently dominant, apical meristem.  See also sympodial.",architecture,
1626,_morphic,architecture,,"Existing within the taxon in the number of distinct structural states indicated by the prefix, the states segregated in different sets of plants or not; as in monomorphic, polymorphic, trimorphic.",architecture,
1627,motile,habit,,"Able to translocate by intrinsic means, as by flagellar propulsion.",habit,
1628,mottled,coloration,,"Having one or more indistinctly delineated, irregularly shaped, areas of varying size and contrasting hue and/or intensity.",coloration,
1629,mound-shaped,shape,,"Essentially round in transverse section, much broader than long or high, with a convex distal face that intersects either a more or less plane proximal face or, when the structure is sessile, its bearing surface.",shape,
1630,mucilage,substance,,A slimy exudate.,substance,
1631,mucilaginous,coating,,"Of a slimy substance, or becoming so upon wetting.",coating,q
1632,mucilaginous,texture,,Slimy.,coating,q
1633,mucous,coating,,"Of a slimy substance, or becoming so upon wetting.",coating,q
1634,mucous,texture,,Slimy.,coating,q
1635,mucro,structure,,"A short, hard, apical point that is a continuation of vascular tissue.  See also apiculum.",STRUCTURE,
1636,mucrones,structure,,"A short, hard, apical point that is a continuation of vascular tissue.  See also apiculum.",STRUCTURE,
1637,mucros,structure,,"A short, hard, apical point that is a continuation of vascular tissue.  See also apiculum.",STRUCTURE,
1638,mucronate,shape,,"Terminating abruptly in a short, hard point that is a continuation of vascular tissue.  See also apiculate, mucronulate.",shape,
1639,mucronulate,shape,,Finely mucronate.  See also apiculate.,shape,
1640,multi_,prefix,,"Indicating presence of or constitution by a relatively large number of entities of the type denoted by the term's stem; as in  multicarpellate, multicellular, multifacial, multiseriate.  See also oligo... (few-...).",prefix,
1641,multiciliate,architecture,,Having several to many cilia.,architecture,
1642,multicipital,architecture,plant,"Having many, more or less equal, principal stems arising at substrate level from a caudex or root crown.",architecture,
1643,multiple_fruit,structure,fruit,"Compound and derived from the connate or coherent ovaries and accessory tissue(s), if any, of two or more adjacent flowers.",nominative,
1644,muricate,relief,,"Having short, hard, more or less acute, transversely round protrusions overall.  See also muriculate.",relief,
1645,muriculate,relief,,Finely muricate.,relief,
1646,muriform,arrangement,cells,"Disposed like bricks in a wall; in parallel rows, the members in each row overlapping the boundaries between members of the adjacent rows.",arrangement,
1647,muscariform,shape,,"Having a proximal axis that bears a distal cluster of elongate slender branches or appendages, these variously ascending to erect; like a broom.",shape,
1648,mushroom-shaped,shape,,"Having a cylindric base and a considerably broader, pulvinate distal portion; like the generalized form of a mushroom.",shape,
1649,muticous,shape,,Lacking a distinct terminal point (when one might be expected).,shape,
1650,naked,architecture,,Lacking a covering that might have been expected.,architecture,
1651,naked,architecture,bud,"Lacking enclosing protective scales, the outermost embryonic components exposed and not differing significantly from those within.  See also perulate.",architecture,
1652,naked,architecture,flower,Lacking a perianth.,architecture,
1653,naked,architecture,receptacle (torus),Lacking paleae; in Asteraceae (Compositae),architecture,
1654,napiform,shape,,Depressed-globose overall and strongly acuminate (concave-tapered) at the base; like the generalized form of a turnip.,shape,
1655,navicular,shape,,"Like the generalized form of a boat hull, the walls relatively thin to moderately thick, the interior essentially empty and open along one side.",shape,
1656,near-bald,pubescence,,"Nearly glabrous, with only a very sparse covering of trichomes.",pubescence,
1657,neck,structure,archegonial,The distal narrowed portion of an archegonium above its bulbous base.,STRUCTURE,
1658,neck,structure,floral tube,"The solid, usually constricted portion of a floral tube sometimes present between casing and collar when those are both present.",STRUCTURE,
1659,nectar,SUBSTANCE,,An aqueous exudate of high sugar content.,SUBSTANCE,
1660,nectariferous,exudation,,"Producing and secreting nectar; when glands are nectariferous, they are usually indicated nominatively as nectaries.",exudation,
1661,nectary,structure,,"A multicellular, anatomically distinct structure that produces and exudes nectar.",STRUCTURE,
1662,needle,structure,,"A relatively stiff, compressed-acerose leaf; in Pinophyta.",STRUCTURE,
1663,needle-shaped,shape,,"Rounded in cross-section and very slenderly elongate, broadest near the middle, and gradually attenuate to an acute apex and a slightly blunter base.",shape,
1664,neotenous,maturation,structure,Retaining at maturity attributes that are usually restricted to the juvenile stage.,maturation,
1665,nerve,structure,,"A strand belonging to any except the ultimate (least in diameter) order of vasculature in a leaf or other foliaceous structure.  See also lateral vein, primary vein, secondary vein, tertiary vein, veinlet.",STRUCTURE,
1666,net-like,architecture,"tertiary and higher-order laminar veins, excl veinlets",Interconnecting more or less regularly.,architecture,
1667,netted,architecture,"tertiary and higher-order laminar veins, excl veinlets",Interconnecting more or less regularly.,architecture,q
1668,netted,coloration,,Having a pattern of interconnected fine lines of contrasting hue and/or intensity.,architecture,q
1669,netted,relief,,"Having prominulous, more or less regularly interconnected lines.",architecture,q
1670,neuter,architecture,"flower, floret",Lacking both stamens and pistils.,architecture,
1671,night-blooming,habit,flower,Opening during the nighttime.,habit,
1672,nine_,prefix,,"Indicating presence of or constitution by nine entities of the type denoted by the term's stem; as in nine-carpelled, nine-loculed, nine-tepaled.",prefix,
1673,nocturnal,habit,flower,Opening during the nighttime.,habit,
#,nodal,insertion,,Upon or associated with the nodes.,position,q
1675,nodal,position,,Upon or associated with the nodes.,position,q
1676,nodding,orientation,stalked structure,"Having the stalk proximally erect and distally recurved, the main body thus oriented outward to downward.  See also hanging (pendent, pendulous).",orientation,
1677,node,structure,,"One of the evident sectors of a stem that occur sequentially along its length and from which leaves (megaphylls) and lateral branches arise exogenously.  The anatomy of nodes differs from, but is not abruptly distinct longitudinally from, that of the inte",STRUCTURE,
1678,nodiform,shape,,"Approximately globose, the surface convoluted or not, like a knob or knot; usually applied only to structures or components that are relatively small.",shape,
1679,nodose,shape,,"Having nodiform (gongylodate, gongyloid, knob-shaped, knot-shaped) protrusions.  See also nodulose.",shape,
1680,nodule,structure,,"A small nodiform (gongylodate, gongyloid, knob-shaped, knot-shaped) segment or protrusion; esp. in roots of Fabaceae (Leguminosae) and harboring nitrogen-fixing bacteria.",STRUCTURE,
1681,nodulose,shape,,"Diminutively nodose; esp. roots of Fabaceae (Leguminosae), the nodules harboring nitrogen-fixing bacteria.",shape,
1682,non-porous,porosity,,"Lacking vessels, the tracheary elements limited to tracheids and, sometimes, fiber-tracheids.",porosity,
1683,non-septate,architecture,trichome,Lacking transverse inter- or intracellular septa or partitions.,architecture,
1684,non-stomate-bearing,architecture,,Lacking stomates in the epidermis.,architecture,
1685,notch,FEATURE,,"A relatively small, acute sinus at the distal end of a laminar structure.",FEATURE,
1686,notched,shape,laminar structure,"Having a relatively small, acute, distal sinus.",shape,
1687,notorhizal,arrangement,cotyledons,"Adaxially contiguous and reflexed parallel to the hypocotyl and radicle, the abaxial surface of one lying against them.",arrangement,
1688,nucellus,structure,,"The distinct, genetically diploid tissue layer immediately surrounding the embryo sac of an ovule; often considered equivalent to a megasporangium wall.",STRUCTURE,
1689,nucelli,structure,,"The distinct, genetically diploid tissue layer immediately surrounding the embryo sac of an ovule; often considered equivalent to a megasporangium wall.",STRUCTURE,
1690,nut,structure,fruit,"Relatively large, indehiscent, one-loculed, one-seeded and with a thick, hard, sometimes osseous pericarp; derived from a single, simple or compound ovary.  See also acorn (glans).",nominative,
1691,nutant,orientation,stalked structure,"Having the stalk proximally erect and distally recurved, the main body thus oriented outward to downward.  See also pendent (hanging, pendulous).",orientation,
1692,nutlet,structure,fruit,"A small, relatively hard-coated mericarp; esp. in Lamiaceae (Labiatae), Verbenaceae.",nominative,
1693,nutrition,CHARACTER,,Mode of acquiring nutrients.,CHARACTER,
1694,obcompressed,shape,,"Flattened adaxially and abaxially, parallel to the longitudinal axis, as though pressed or squeezed from the upper and lower surfaces, the external surface otherwise basically convex.  Used alone, this term usually implies a strong degree of flattening; o",shape,
1695,obconic,shape,,"Transversely round, essentially triangular in median longitudinal section, and broadest distally; inversely conic(al) (cone-shaped).",shape,
1696,obconical,shape,,"Transversely round, essentially triangular in median longitudinal section, and broadest distally; inversely conic(al) (cone-shaped).",shape,
1697,obcordate,shape,,Inversely cordate (heart-shaped).,shape,
1698,obcordiform,shape,,Inversely cordiform (heart-shaped).,shape,
1699,obdeltate,shape,,"Approximately equilaterally triangular, broadest distally, and regularly attenuate to an angular base; inversely deltate; equilaterally cuneate.",shape,
1700,obdeltoid,shape,,"Three-angled (trigonous, triquetrous), broadest distally, and regularly attenuate to an angular base; inversely deltoid.",shape,
1701,obdiplostemonous,architecture,"flower, androecium","Having the stamens dicyclic, the proximal whorl with members directly above the petals, the distal whorl with members directly above the sepals.  See also diplostemonous.",architecture,
1702,oblanceolate,shape,,Inversely lanceolate (lancehead-shaped).,shape,
1703,oblanceoloid,shape,,"Inversely lanceoloid (lancehead-shaped, lanciform).",shape,
1704,oblanciform,shape,,"Inversely lanciform (lancehead-shaped, lanceoloid).",shape,
1706,oblate,shape,,Symmetrically elongate and broader than long perpendicular to the developmental or polar axis.,shape,
1707,oblique,shape,,Asymmetric about its longitudinal axis.,shape,
1709,oblique,orientation,planate lateral structure,Lying in a plane not coincident with the one defined by its longitudinal axis and that of the bearing structure.,shape,
1710,oblong,shape,,"Compressed-elliptic, the sides approximately parallel from near one end to near the other.  See also elliptic(al) (oval).",shape,
1712,obovate,shape,,Inversely ovate (egg-shaped).,shape,
1713,obovoid,shape,,Inversely ovoid (egg-shaped).,shape,
1714,obscure,manifestation,,Hardly evident.,manifestation,
1715,obsolete,manifestation,,Not developing fully and not functional compared with corresponding structures in other taxa.,manifestation,
1716,obterete,shape,,Inversely terete.,shape,
1718,obtriangular,shape,,"Inversely triangular; like the outline of the broad lateral face of a wedge, broadest at the apex.  See also obdeltate.",shape,
1719,obtrullate,shape,,"Inversely trullate (trowel-shaped, trulliform).",shape,
1720,obtrulliform,shape,,"Inversely trulliform (trowel-shaped, trullate).",shape,
1721,obtrulloid,shape,,Inversely trulloid.,shape,
1722,obturbinate,shape,,Inversely turbinate (top-shaped).  See also pyriform (pear-shaped).,shape,
1723,obtuse,shape,,Bluntly angular; having an angular tip whose generalized sides intersect at an angle of 90-�+� or more.,shape,
1725,obvolute,arrangement,cotyledons,"Having each cotyledon folded inward longitudinally, the two facing one another with their edges overlapping alternately (each enveloping one side or the other).",arrangement,q
1726,obvolute,vernation,,"Conduplicate with the lateral edges of each leaf alternately overlapping those of the oppositely oriented, distally next adjacent one.",arrangement,q
1727,ocellate,coloration,,Having a more or less circular area that differes in hue and/or intensity from the remainder of the structure; esp. a corolla with such an area at its center.,coloration,
1728,ochrea,structure,,See ocrea.,STRUCTURE,
1729,ocrea,structure,,"A tubular sheath that encircles a stem at a node, subtending a petiole; thought to have arisen evolutionarily by lateral fusion of two stipules; in Polygonaceae.",STRUCTURE,
1730,ocreae,structure,,"A tubular sheath that encircles a stem at a node, subtending a petiole; thought to have arisen evolutionarily by lateral fusion of two stipules; in Polygonaceae.",STRUCTURE,
1732,octa_,prefix,,"Indicating presence of or constitution by eight entities of the type denoted by the term's stem; as in  octandrous, octocarpellate, octolocular.",prefix,
1733,odd-pinnate,architecture,foliaceous structure,"Compound with each order pinnate and comprising an uneven number of members, one of them terminal.",architecture,
1734,odor,CHARACTER,,Olfactory stimulation.,CHARACTER,
1735,odorless,odor,,Lacking a distinct odor.,odor,
1736,oil-secreting,exudation,,"Producing and exuding an oily substance, often aromatic; when oil-secreting glands are indicated in the nominative, often they are called simply oil glands.",exudation,
1737,oily,coating,,Of a grease- or oil-like film.,coating,q
1738,oily,texture,,"Liquid or deformably solid, cohesive, and slippery to the touch.",coating,q
1739,oleaginous,coating,,Of a grease- or oil-like film.,coating,q
1740,oleaginous,texture,,"Liquid or deformably solid, cohesive, and slippery to the touch.",coating,q
1741,oligo_,prefix,,"Indicating presence of or constitution by a relatively small number of entities of the type denoted by the term's stem; as in  oligandrous, oligocellular, oligofloral, oligospermous.  See also multi... (many-..., pluri..., poly...).",prefix,
1742,one_,prefix,,"Indicating presence of or constitution by one entity of the type denoted by the term's stem; as in one-carpelled, one-loculed, one-seeded.  See also entries for particular terms beginning with this prefix whose meanings, at least in some applications, are",prefix,
1743,one-leafleted,architecture,foliaceous structure,"Structurally compound but with only one leaflet, whose nature (as a leaflet, not a leaf) is revealed by an evident articulation with the petiole, this condition presumably derived by evolutionary reduction from a multifoliolate precursor.",architecture,
1744,one-lipped,architecture,"perianth, calyx, corolla",Strongly zygomorphic with connate and/or coherent members some or all of whose distal portions form one lip-like structure.,architecture,
1745,one-sided,architecture,,"Having only one side, as compared with presumably equivalent, bilaterally symmetric structures.",position,q
1746,one-sided,orientation,,Disposed or directed toward one side only.,position,q
#,one-sided,insertion,,Upon or arising from one side only of the bearing structure.,position,q
1748,one-sided,position,,Upon or arising from one side only of the bearing structure.,position,q
1749,one-veined,venation,,"Having one median, primary vein and no other venation externally evident.",venation,
1750,ontogeny,CHARACTER,,Mode or pattern of growth and differentiation.,CHARACTER,
1751,opaque,coloration,,Not transmitting light.,coloration,
1752,operculate,architecture,,Having an operculum (lid).,architecture,
1753,operculum,structure,,"A distal, cover-like portion of a structure whose main body is otherwise closed, transversely discontinuous with the main body around most of the circumference, or becoming partially or wholly separate by transverse dehiscence; as of an ascidium (pitcher)",STRUCTURE,
1754,opercula,structure,,"A distal, cover-like portion of a structure whose main body is otherwise closed, transversely discontinuous with the main body around most of the circumference, or becoming partially or wholly separate by transverse dehiscence; as of an ascidium (pitcher)",STRUCTURE,
1755,opposite,arrangement,,"Disposed in pairs along the axis, the members of each pair inserted at the same level across from one another.",arrangement,
1757,orbicular,shape,,"Uniformly convex, circular in any median section and in outline when viewed from any angle; like a sphere or globe.",shape,
1758,orbiculate,shape,,Circular.,shape,
1759,orientation,CHARACTER,,Attitude or direction with respect to some explicit or implicit structure(s) or context.  The lexicon relating to orientation includes some conceptually complex terms whose meanings also embrace aspects of structural composition or shape.  Overlaps concep,CHARACTER,
1760,orthotropous,orientation,ovule,"Having the (straight) ovule sessile or funiculate and divaricate, the micropyle facing away from the ovary wall (placenta).",orientation,
1761,osseous,texture,,"Very hard and rather brittle, like bone.",texture,
1762,ostiole,structure,,The distal aperture of a syconium (fig); in Ficus (Moraceae).,STRUCTURE,
1763,oval,shape,,"Elongate, widest at the middle, and symmetrically convex-attenuate to rounded ends.  See also oblong.",shape,
1764,ovary,structure,,The proximal portion of a pistil (either simple or compound) within which the ovules are borne; usually of somewhat greater diameter and/or volume than the remainder of the pistil.,STRUCTURE,
1765,ovate,shape,,"Elongate and wholly convex, widest near a bluntly rounded base and attenuate to a narrower rounded apex; like the lateral outline of a fowl egg.  See also obovate.",shape,
1766,overlapping,aestivation,,"Having members whorled or spirally inserted and overlapping one another, each overlapping or overlapped to either side, and also above or below if spirally arranged or in multiple whorls.",aestivation,q
1767,overlapping,arrangement,planate structures,Overlapping one another laterally and/or longitudinally.,aestivation,q
1768,ovoid,shape,,"Transversely circular, broadest near a bluntly rounded base, and convexly attenuate to a narrower rounded apex; like a fowl egg.  See also obovoid.",shape,
1769,_ovulate,architecture,"megasporophyll, ovary","Having the number of ovules indicated by the previx; as in biovulate, multiovulate.",architecture,
1770,ovule,structure,,"A complex reproductive structure borne by a seed-plant sporophyte, consisting of outer, sporophytic tissues that enclose a haploid, gametogenic tissue usually regarded as a highly reduced megagametophyte.  Following fertilization, the entire structure mat",STRUCTURE,
1771,_ovuled,architecture,"megasporophyll, ovary",Having the number of ovules indicated by the previx; as in ten-ovuled.,architecture,
1772,ovuliferous_scale,structure,,"A fertile scale in a female cone (megastrobilus), bearing one or two naked ovules, and subsequently seed(s), subtended by and borne closely upon a sterile, fleshy or woody scale sometimes termed a bract scale; in Pinophyta.",STRUCTURE,
1773,pachycaulous,architecture,plant,"Having thick, more or less succulent stems.",architecture,
1774,paired,arrangement,,"Inserted by pairs, the members of each fused or not.",arrangement,
1775,palaceous,architecture,foliaceous structure,"Having the petiole attached to the abaxial face of the blade at some point within the margin and adnate to it from there to the margin, thus peltate but with the distal portion of the petiole adnate to the blade, the whole shovel- or spade-like.",architecture,
1776,palate,structure,,"The lower, prominent labium (lip) of a personate (gaping, ringent) corolla.",STRUCTURE,
1777,pale1,structure,,A small papery (chartaceous) to membranous bract borne on the compound receptacle of a capitulum (head) in Asteraceae (Compositae).,STRUCTURE,
1778,pale2,structure,,The upper or distal of the (usually) two distinctive bracts immediately subtending the flower in a grass (Poaceae) spikelet.,STRUCTURE,
1779,palea,structure,,A small papery (chartaceous) to membranous bract borne on the compound receptacle (torus) of a capitulum (head) in Asteraceae (Compositae).,STRUCTURE,
1780,paleae,structure,,A small papery (chartaceous) to membranous bract borne on the compound receptacle (torus) of a capitulum (head) in Asteraceae (Compositae).,STRUCTURE,
1781,paleas,structure,,A small papery (chartaceous) to membranous bract borne on the compound receptacle (torus) of a capitulum (head) in Asteraceae (Compositae).,STRUCTURE,
1782,palea,structure,,The distal bract of the (usually) two that immediately subtend the flower in a grass (Poaceae) spikelet; the other is the lemma.,STRUCTURE,
1783,paleae,structure,,The distal bract of the (usually) two that immediately subtend the flower in a grass (Poaceae) spikelet; the other is the lemma.,STRUCTURE,
1784,paleas,structure,,The distal bract of the (usually) two that immediately subtend the flower in a grass (Poaceae) spikelet; the other is the lemma.,STRUCTURE,
1785,paleaceous,pubescence,,"Of or bearing small, thin, more or less erect, chartaceous (papery) to membranous, planate trichomes.",pubescence,
1786,paleate,architecture,receptacle (torus),"Bearing paleae (pales, palets, receptacular bracts); in Asteraceae (Compositae).",architecture,
1787,palet,structure,,A small papery (chartaceous) to membranous bract borne on the compound receptacle (torus) of a capitulum (head) in Asteraceae (Compositae).,STRUCTURE,
1788,palet,structure,,The upper or distal of the (usually) two distinctive bracts immediately subtending the flower in a grass (Poaceae) spikelet.,STRUCTURE,
1789,palinactinodromous,venation,,"Compound actinodromous, with higher-order branch radiations above the level of and similar to the primary one.",venation,
1790,pallid,coloration,,Relatively pale; not strongly colored.,coloration,
1791,palmate,architecture,foliaceous structure,"Compound with one order of leaflets all inserted at a common point and diverging from one another; or lobed (cleft, divided, parted, segmented), incised or ribbed in a similar hand-like pattern.  Unless qualified to indicate otherwise, this term usually i",architecture,
1792,_palmate,architecture,foliaceous structure,"Compound with the number of orders of leaflets indicated by the prefix, each order palmate; as in bipalmate.",architecture,
1793,palmatifid,shape,,Palmately lobate; having three or more lobes whose longitudinal axes radiate from a common point.,shape,
1795,palmatipinnate,architecture,foliaceous structure,"Compound with two orders of leaflets, the first order palmate, the second pinnate.",architecture,
1796,pandurate,shape,,"Basically obovate but with deep, rounded sinuses opposite one another in the proximal half; like the frontal outline of an inverted fiddle body.",shape,
1797,panicle,structure,inflorescence,"A compound (branched) raceme, the elongate main axis either determinate or indeterminate, its lateral branches racemose.",nominative,
1798,panicle-like,architecture,"capitulescence, inflorescence","Resembling a panicle, but not strictly such.",architecture,
1799,paniculate,architecture,inflorescence,Comprising one or more panicles.,architecture,
1800,paniculiform,architecture,"capitulescence, inflorescence","Resembling a panicle, but not strictly such.",architecture,
1801,panniform,pubescence,,"Of closely intertwined, capillate trichomes that form a dense, felt-like mat.  See also pannose.",pubescence,
1802,pannose,pubescence,,"Bearing closely intertwined, capillate trichomes that form a dense, felt-like mat.  See also panniform.",pubescence,
1803,papery,texture,,"Very thin, flexible, and readily torn; like paper.  See also membranaceous (membranous), pergamentaceous (parchment-like).",texture,
1804,papilionaceous,architecture,corolla,"Having a relatively large, erect adaxial (upper) petal (the standard, banner or vexillum), two smaller lateral petals (the wings or alae), and two individually smaller but connate or coherent abaxial (lower) petals that together form a carinate structure",architecture,
1805,papilla,FEATURE,,"A small, conoidal protrusion resembling a pimple.  See also pustule (blister, bulla).",FEATURE,
1806,papillae,FEATURE,,"A small, conoidal protrusion resembling a pimple.  See also pustule (blister, bulla).",FEATURE,
1807,papillar,shape,,"Small, conoidal, and protruding from a larger structure; resembling a pimple; esp. trichomes.",shape,
1808,papillary,shape,,"Small, conoidal, and protruding from a larger structure; resembling a pimple; esp. trichomes.",shape,
1809,papillate,relief,,"Having small, conoidal protrusions overall; appearing pimply.",relief,
1810,papilliform,shape,,"Small, conoidal, and protruding from a larger structure; resembling a pimple; esp. trichomes.",shape,
1811,papillose,relief,,"Having small, conoidal protrusions overall; appearing pimply.",relief,
1812,pappose,architecture,"flower, fruit",Bearing a pappus; esp. in Asteraceae (Compositae).,architecture,
1813,pappus,structure,,"A set of one or more awns (aristae, bristles, setae) or scales at the summit of an inferior ovary just beneath or outside the free portion of the corolla; persisting in the fruit (cypsela) and often aiding wind or animal dispersal; in Asteraceae (Composit",STRUCTURE,
1814,pappi,structure,,"A set of one or more awns (aristae, bristles, setae) or scales at the summit of an inferior ovary just beneath or outside the free portion of the corolla; persisting in the fruit (cypsela) and often aiding wind or animal dispersal; in Asteraceae (Composit",STRUCTURE,
1815,pappus_scale,structure,,A pappus element that is more or less planate and relatively thin and broad; may terminate in one or more awn- or bristle-like appendages.,STRUCTURE,
1816,papyraceous,texture,,"Very thin, flexible, and readily torn; like paper.  See also membranaceous (membranous), pergamentaceous (parchment-like).",texture,
1817,paracytic,architecture,stomate,"Having one or more subsidiary cells to either side, all oriented parallel to its long axis.",architecture,
1818,parallelodromous,venation,,Having two or more primary veins that run more or less parallel to one another over most of the laminar length and converge near the apex.,venation,
1819,paraphysis,structure,,"An elongate, multicellular, sterile structure borne between sporangia within a sorus; in Polypodiophyta.",STRUCTURE,
1820,paraphyses,structure,,"An elongate, multicellular, sterile structure borne between sporangia within a sorus; in Polypodiophyta.",STRUCTURE,
1821,parasitic,nutrition,plant,Heterotrophic and obtaining essential nourishment directly from other living organisms that derive no reciprocal benefit.,nutrition,
1822,parchment-like,texture,,"Very thin, pliable, and fairly tough; like parchment.  See also chartaceous (papery, papyraceous), membranaceous (membranous).",texture,
1823,parietal,placentation,,"Upon the inner wall surface of a unilocular ovary, thus peripheral within the locule.",placentation,q
1824,paripinnate,architecture,foliaceous structure,"Compound with each order pinnate and comprising an even number of members, none truly terminal.",architecture,
1825,parted,shape,,Having two or more component sectors or peripheral protrusions that are delimited by concavities in the surface or margin and that are not proximally distinct from the remainder of the whole.  The meanings of this term and its approximate synonyms sometim,shape,
1826,_parted,shape,,"Having the number of lobes, divisions or segments indicated by the prefix; as in five-parted.",shape,
1828,_parted,shape,,"Having the number of lobes, divisions or segments indicated by the prefix; as in five-parted.",shape,
